Date,Open,High,Low,Close,Adj Close,Volume
21-09-2020,2465,2504.899902,2452.149902,2465.300049,2324.32666,4598809
22-09-2020,2485,2555,2458,2522.949951,2378.680176,7499613
23-09-2020,2510,2519.850098,2409,2467.449951,2326.354004,7502280
24-09-2020,2450,2450,2302.600098,2332.25,2198.885498,8424708
25-09-2020,2368,2440,2352.100098,2422.300049,2283.785889,8228267
28-09-2020,2440,2444,2366,2426.300049,2287.557617,4347166
29-09-2020,2434.850098,2511.050049,2426.300049,2488.399902,2346.105957,6995811
30-09-2020,2489,2505,2460,2492.300049,2349.782471,3917166
01-10-2020,2510,2540,2492.300049,2523.449951,2379.151855,2610337
05-10-2020,2620,2728.100098,2603.050049,2705.800049,2551.074463,17412105
06-10-2020,2736,2736,2650.100098,2714.300049,2559.088379,9846367
07-10-2020,2742,2770,2703,2735.949951,2579.500732,9656101
08-10-2020,2800,2885,2800,2825.699951,2664.11792,19839329
09-10-2020,2810,2829.850098,2780,2812.949951,2652.097412,7739245
12-10-2020,2815.5,2854,2800.75,2830,2668.172119,4623203
13-10-2020,2845,2854.899902,2812.199951,2826.550049,2664.919678,4209878
14-10-2020,2842,2842,2787.550049,2809.600098,2660.232666,4395936
15-10-2020,2811,2827.75,2727,2740.600098,2594.901367,6629355
16-10-2020,2750.100098,2771.649902,2731.300049,2763.300049,2616.394531,5273773
19-10-2020,2774,2774,2706.600098,2711.550049,2567.395264,3331194
20-10-2020,2725,2759.899902,2717.949951,2739,2593.38623,3406273
21-10-2020,2739,2749,2663.050049,2675.399902,2533.166992,4570143
22-10-2020,2661,2686.649902,2638.100098,2671.149902,2529.143311,5262294
23-10-2020,2687.800049,2702,2670.100098,2686.800049,2543.961426,3499091
26-10-2020,2689.949951,2709.949951,2670.5,2688.199951,2545.286621,2672752
27-10-2020,2699.75,2718.149902,2624.100098,2630.149902,2490.322998,3537502
28-10-2020,2650,2655.949951,2606,2622.199951,2482.795898,3569445
29-10-2020,2608,2655,2600.25,2632.649902,2492.690186,3105968
30-10-2020,2636.100098,2674.350098,2621.600098,2664.850098,2523.178467,3427003
02-11-2020,2660,2664.850098,2600.050049,2604.600098,2466.131104,2571196
03-11-2020,2604,2665,2601.050049,2633.600098,2493.589355,2879269
04-11-2020,2610,2721.850098,2610,2653.149902,2512.100342,4893928
05-11-2020,2685,2710,2667,2685.699951,2542.919434,2816502
06-11-2020,2699,2713.25,2681.300049,2707.449951,2563.513672,3884421
09-11-2020,2731.100098,2744,2695.100098,2726.600098,2581.645752,3646592
10-11-2020,2697.199951,2713.149902,2638.350098,2649.600098,2508.739014,4760020
11-11-2020,2667.949951,2692.800049,2643.399902,2687.800049,2544.908447,3242441
12-11-2020,2686,2713,2661.75,2671.050049,2529.048584,2437505
13-11-2020,2655.75,2664.899902,2636,2656.850098,2515.603516,2548093
14-11-2020,2677.949951,2689,2660.050049,2670.350098,2528.38623,298819
17-11-2020,2695,2695,2650.050049,2666.050049,2524.314453,2827273
18-11-2020,2661,2664.199951,2607.050049,2626.649902,2487.008789,2893762
19-11-2020,2637,2676.149902,2630.850098,2636.899902,2496.713867,4167501
20-11-2020,2655,2676,2627.550049,2660.25,2518.822754,2711471
23-11-2020,2690,2730,2665,2724.25,2579.42041,3706418
24-11-2020,2734.399902,2743,2705,2722.050049,2577.337402,3120516
25-11-2020,2729,2732.949951,2688.199951,2701.300049,2557.690674,3302249
26-11-2020,2686,2730.949951,2680,2720.600098,2575.9646,2341099
27-11-2020,2705,2717.699951,2669.050049,2679.649902,2537.191406,6086808
01-12-2020,2679,2735.899902,2624.449951,2726.800049,2581.834961,3605017
02-12-2020,2719,2754.699951,2702.449951,2749.550049,2603.375244,2509032
03-12-2020,2773.899902,2773.899902,2700.800049,2709.449951,2565.406982,2852548
04-12-2020,2710.800049,2738.850098,2699,2727.550049,2582.544922,2686527
07-12-2020,2715,2744,2706.149902,2737.699951,2592.155029,1996400
08-12-2020,2740,2805.550049,2732.449951,2797.300049,2648.58667,4277818
09-12-2020,2815,2840,2793.149902,2810.800049,2661.368896,3659996
10-12-2020,2818,2827.300049,2780.25,2784.300049,2636.277588,2127801
11-12-2020,2792.699951,2807.699951,2764.550049,2783.600098,2635.61499,1795408
14-12-2020,2802,2804,2756.25,2797.699951,2648.965332,2483658
15-12-2020,2786,2794.699951,2755,2761.550049,2614.737061,2365509
16-12-2020,2779,2819.800049,2760.449951,2814.199951,2664.588135,2565149
17-12-2020,2811,2853.699951,2805,2838.199951,2687.3125,2863460
18-12-2020,2868,2898,2846.199951,2861,2708.900391,6076692
21-12-2020,2861,2886.5,2785,2820.149902,2670.221924,2705195
22-12-2020,2834,2883.649902,2818.649902,2872.5,2719.788574,2881737
23-12-2020,2876.050049,2919,2865.449951,2908.75,2754.112061,2790988
24-12-2020,2909,2921.350098,2883.199951,2909.350098,2754.679688,1807144
28-12-2020,2910,2949.699951,2902,2929.399902,2773.664063,2108994
29-12-2020,2920,2952,2920,2930.5,2774.705566,1994151
30-12-2020,2934.399902,2947.699951,2902,2909.300049,2754.632568,2637968
31-12-2020,2900,2905,2845,2862.75,2710.557129,4040956
01-01-2021,2880,2940,2879,2928.25,2772.575195,2681440
04-01-2021,2950,3050.75,2940.949951,3039.449951,2877.863281,5113293
05-01-2021,3039.600098,3114.25,3039.600098,3093,2928.566895,5801309
06-01-2021,3100,3113.5,3037.199951,3051.5,2889.272705,3726716
07-01-2021,3075,3080.850098,3000.25,3032.800049,2871.56665,3717827
08-01-2021,3090,3128,3060,3120.899902,2954.98291,5879039
11-01-2021,3230,3230,3146.550049,3176.449951,3007.579834,9508039
12-01-2021,3176.449951,3210,3150,3174.850098,3006.064941,3611458
13-01-2021,3175,3177,3126.25,3158.949951,2991.010498,3572801
14-01-2021,3155,3266.5,3120.399902,3250.699951,3083.739746,6931542
15-01-2021,3235,3274,3210,3233.350098,3067.280518,4131692
18-01-2021,3250,3256.75,3187.399902,3221.75,3056.276611,4160906
19-01-2021,3233,3279,3232,3260.699951,3093.226074,2975735
20-01-2021,3270,3327.949951,3267.100098,3308.800049,3138.855713,3453446
21-01-2021,3305,3309.149902,3262.100098,3273.850098,3105.700928,2778546
22-01-2021,3241.899902,3325,3241.899902,3303.100098,3133.448486,3052459
25-01-2021,3308.949951,3339.800049,3278.649902,3291.300049,3122.25415,2272887
27-01-2021,3300,3306.449951,3227,3261.050049,3093.55835,2786662
28-01-2021,3230,3275,3183.800049,3196.550049,3032.370605,3083938
29-01-2021,3210.050049,3216.850098,3100,3111.350098,2951.547119,5445659
01-02-2021,3100,3165,3044.100098,3139.350098,2978.108643,3985846
02-02-2021,3174,3224,3150,3203.449951,3038.91626,2881837
03-02-2021,3213,3236,3162.649902,3200.050049,3035.690918,2505866
04-02-2021,3216.050049,3237.850098,3176,3188.449951,3024.687012,2057261
05-02-2021,3198.949951,3205.850098,3129,3157.949951,2995.753662,2366135
08-02-2021,3189.5,3226,3155.149902,3214.100098,3049.019531,2526592
09-02-2021,3195,3245.800049,3164,3176.899902,3013.730225,2658751
10-02-2021,3185,3219.399902,3157.300049,3213.300049,3048.260986,2127983
11-02-2021,3215,3219.300049,3185.050049,3206,3041.335205,1165882
12-02-2021,3184.199951,3245.5,3182,3190.800049,3026.916504,2777404
15-02-2021,3209,3209,3131.550049,3139.850098,2978.583252,2630853
16-02-2021,3150,3167.649902,3100,3108.800049,2949.128174,3435770
17-02-2021,3105.100098,3132.850098,3045.550049,3073.100098,2915.261475,3678426
